TRADEDATE;OPEN;HIGH;LOW;CLOSE
03.04.2017;1504.43;1504.43;1504.43;1504.43
04.04.2017;1521.84;1521.84;1521.84;1521.84
05.04.2017;1543.96;1543.96;1543.96;1543.96
06.04.2017;1538.95;1538.95;1538.95;1538.95
07.04.2017;1491.66;1491.66;1491.66;1491.66
10.04.2017;1452.55;1452.55;1452.55;1452.55
11.04.2017;1461.69;1461.69;1461.69;1461.69
12.04.2017;1445.24;1445.24;1445.24;1445.24
13.04.2017;1459.54;1459.54;1459.54;1459.54
14.04.2017;1437.78;1437.78;1437.78;1437.78
17.04.2017;1466.08;1466.08;1466.08;1466.08
18.04.2017;1443.22;1443.22;1443.22;1443.22
19.04.2017;1431.62;1431.62;1431.62;1431.62
20.04.2017;1451.45;1451.45;1451.45;1451.45
21.04.2017;1452.55;1452.55;1452.55;1452.55
24.04.2017;1495.97;1495.97;1495.97;1495.97
25.04.2017;1501.74;1501.74;1501.74;1501.74
26.04.2017;1499.36;1499.36;1499.36;1499.36
27.04.2017;1483.03;1483.03;1483.03;1483.03
28.04.2017;1493.84;1493.84;1493.84;1493.84
02.05.2017;1501.6;1501.6;1501.6;1501.6
03.05.2017;1469.61;1469.61;1469.61;1469.61
04.05.2017;1449.53;1449.53;1449.53;1449.53
05.05.2017;1456.28;1456.28;1456.28;1456.28
10.05.2017;1491.1;1491.1;1491.1;1491.1
11.05.2017;1483.3;1483.3;1483.3;1483.3
12.05.2017;1475.15;1475.15;1475.15;1475.15
15.05.2017;1503.61;1503.61;1503.61;1503.61
16.05.2017;1494.18;1494.18;1494.18;1494.18
17.05.2017;1482.56;1482.56;1482.56;1482.56
18.05.2017;1445.64;1445.64;1445.64;1445.64
19.05.2017;1460.34;1460.34;1460.34;1460.34
22.05.2017;1454.75;1454.75;1454.75;1454.75
23.05.2017;1472.53;1472.53;1472.53;1472.53
24.05.2017;1460.13;1460.13;1460.13;1460.13
25.05.2017;1454.66;1454.66;1454.66;1454.66
26.05.2017;1440.89;1440.89;1440.89;1440.89
29.05.2017;1457.96;1457.96;1457.96;1457.96
30.05.2017;1443.27;1443.27;1443.27;1443.27
31.05.2017;1414.39;1414.39;1414.39;1414.39
01.06.2017;1404.09;1404.09;1404.09;1404.09
02.06.2017;1404.61;1404.61;1404.61;1404.61
