<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20160902,000000,402.0300000,402.7900000,401.7500000,402.7800000,11951008464
20160905,000000,402.9400000,404.2200000,402.9400000,403.7600000,3782288097
20160906,000000,403.7600000,404.2200000,403.7600000,404.2000000,15331279221
20160907,000000,404.2600000,405.9200000,404.2600000,405.7700000,15968551512
20160908,000000,406.0600000,407.0400000,405.9400000,406.9700000,17402053957
20160909,000000,406.9200000,407.1300000,406.1000000,406.1000000,10033862460
20160912,000000,406.3500000,406.5200000,405.1100000,405.2900000,11490624695
20160913,000000,405.5300000,406.1200000,405.1400000,405.6100000,8595836072
20160914,000000,405.7600000,406.3500000,405.3800000,405.4100000,18809069694
20160915,000000,405.4600000,406.0600000,405.4600000,405.8100000,12350233879
20160916,000000,405.9300000,406.2700000,404.5700000,404.5700000,15126483155
20160919,000000,404.9300000,405.0100000,403.6100000,403.6200000,12012113574
20160920,000000,403.6500000,403.6900000,402.2400000,402.3500000,28325684797
20160921,000000,402.4100000,404.5100000,402.3800000,404.5100000,27600125194
20160922,000000,404.7100000,406.7000000,404.7100000,405.9800000,25598836758
20160923,000000,405.9400000,406.0600000,405.1800000,405.1900000,18172986274
20160926,000000,405.6100000,405.6800000,404.6900000,404.8000000,18762995117
20160927,000000,404.9800000,405.2600000,404.7200000,404.7600000,13011190032
20160928,000000,404.9000000,404.9600000,404.3900000,404.6900000,13718552384
20160929,000000,404.8500000,405.9600000,404.8400000,405.9600000,15802449725
20160930,000000,406.0000000,406.1400000,405.6700000,405.7500000,14430250470
20161003,000000,406.1700000,407.5700000,406.1700000,407.5000000,10868739759
20161004,000000,407.3700000,407.8400000,407.2300000,407.2300000,10117610246
20161005,000000,407.1000000,407.2700000,406.6800000,406.6800000,8799641628
20161006,000000,406.6900000,406.7500000,405.6300000,405.7800000,9052606388
20161007,000000,405.6600000,406.1400000,405.0100000,405.1600000,5090180471
20161010,000000,405.5200000,405.5800000,404.7600000,404.8900000,7295443181
20161011,000000,405.0400000,405.1600000,404.4700000,404.4700000,10361654260
20161012,000000,404.4000000,404.4800000,403.8600000,404.1500000,6490126388
20161013,000000,404.3100000,404.3800000,403.0100000,403.2500000,3643832768
20161014,000000,403.4200000,403.9800000,403.3400000,403.8700000,7973800272
20161017,000000,404.2700000,404.2700000,402.7400000,402.7400000,9462310647
20161018,000000,402.8700000,402.8700000,401.9300000,402.1900000,6414745585
20161019,000000,402.2300000,404.0400000,402.0000000,403.8000000,11365967361
20161020,000000,403.8200000,404.2900000,403.7300000,404.1200000,5585841725
20161021,000000,404.3300000,404.8100000,403.8500000,404.8000000,6553037430
20161024,000000,404.9400000,405.3200000,404.6000000,405.1600000,3867602535
20161025,000000,405.1500000,405.3100000,404.7700000,404.7900000,3181395223
20161026,000000,404.8700000,405.0100000,404.3500000,404.4100000,6109411461
20161027,000000,404.5200000,404.6000000,403.7300000,403.7300000,18528854224
20161028,000000,403.8700000,404.0400000,402.7700000,402.8700000,7118329820
20161031,000000,403.3900000,403.3900000,402.6900000,402.9400000,8575904241
20161101,000000,402.9600000,403.3100000,402.9400000,403.0000000,10171625469
20161102,000000,403.1900000,403.4300000,401.9300000,402.2000000,12302519437
20161103,000000,402.1800000,402.4500000,401.4600000,402.4500000,10794191629
20161107,000000,402.7300000,404.2700000,402.7300000,404.2600000,13127730925
20161108,000000,404.4500000,405.2500000,404.4500000,405.1400000,4754487574
20161109,000000,405.1600000,405.7500000,404.6500000,404.7900000,18408111171
20161110,000000,404.9700000,405.1000000,403.7200000,403.7200000,11770562710
20161111,000000,403.8400000,403.8400000,400.6700000,400.6700000,28392881100
20161114,000000,400.8400000,401.0800000,399.6500000,400.1900000,11530000105
20161115,000000,400.3200000,401.8200000,400.3200000,401.7800000,11944795865
20161116,000000,401.9800000,402.5800000,401.1900000,401.2600000,6674597681
20161117,000000,401.5700000,402.0900000,401.4400000,402.0800000,6974455150
20161118,000000,402.1700000,402.2400000,401.3000000,402.0800000,6292938671
20161121,000000,402.2800000,403.3100000,402.2800000,403.1700000,4435647806
20161122,000000,403.3100000,404.0900000,403.3100000,403.4800000,6300914271
20161123,000000,403.5900000,403.8800000,402.5800000,402.5800000,11681035176
20161124,000000,402.5000000,403.1900000,401.6600000,402.8200000,5546462139
20161125,000000,403.0000000,403.0000000,402.0600000,402.0600000,13030670162
20161128,000000,402.3500000,402.4200000,402.0300000,402.4200000,1693246480
20161129,000000,402.4200000,403.0500000,402.2700000,402.3600000,6914049752
20161130,000000,402.5000000,402.5000000,401.8200000,402.2800000,10036828073
20161201,000000,402.5500000,403.3700000,402.3100000,403.3700000,16000609676
20161202,000000,403.6300000,403.9500000,403.4700000,403.6300000,6724853447
20161205,000000,403.9200000,404.2700000,403.6000000,404.2300000,8189768744
20161206,000000,404.3700000,404.9700000,404.2800000,404.9700000,15044370364
20161207,000000,405.2400000,406.3400000,405.1800000,406.3400000,25300084602
20161208,000000,406.3400000,407.3100000,406.1100000,407.2700000,14893936367
20161209,000000,407.3200000,408.2300000,407.3200000,408.1900000,19031324120
20161212,000000,408.4000000,409.8500000,408.4000000,409.8400000,12782989452
20161213,000000,409.4200000,410.2900000,409.4200000,409.9600000,18381067671
20161214,000000,410.1300000,410.8400000,410.1100000,410.8100000,23988365502
20161215,000000,410.6000000,410.7500000,409.8500000,410.0200000,24511039436
20161216,000000,410.1700000,410.5400000,410.1200000,410.4200000,9039100827
20161219,000000,410.5400000,410.7700000,410.2800000,410.5600000,5276321535
20161220,000000,410.7700000,410.9800000,410.6700000,410.6700000,9794030598
