Date;Price;Open;Max;Min;Up/down
07.09.2006;9527.93;9768.32;9768.32;9524.09;-2.44%
08.09.2006;9542.71;9521.18;9567;9512.79;0.16%
11.09.2006;9235.86;9549.83;9549.83;9235.8;-3.22%
12.09.2006;9295.92;9250.25;9320.39;9250.25;0.65%
13.09.2006;9370.96;9282.57;9397.75;9250.83;0.81%
14.09.2006;9439.2;9378.64;9508.8;9378.64;0.73%
15.09.2006;9345.75;9433.32;9448.09;9343.16;-0.99%
18.09.2006;9432.75;9335.84;9441.84;9335.84;0.93%
19.09.2006;9510.67;9461.91;9544.37;9461.91;0.83%
20.09.2006;9357.14;9473.03;9473.03;9302.18;-1.61%
21.09.2006;9248.33;9370.47;9383.91;9248.33;-1.16%
22.09.2006;9058.3;9245.02;9253.92;9058.3;-2.05%
25.09.2006;8711.71;9020.65;9020.65;8708.23;-3.83%
26.09.2006;8899.61;8718.45;8899.61;8718.45;2.16%
27.09.2006;9129.49;8922.15;9150.41;8922.15;2.58%
