TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
23.08.2011;9721,72;9723,03;9891,34;9566,86;15315401356,6276;;;2;3823021591440,81;RUB;999999,999999
22.08.2011;9723,03;9701,21;9843,56;9467,46;12018842299,6422;;;2;3823534198653,45;RUB;999999,999999
19.08.2011;9701,21;9780,55;9798,85;9350,63;15734215911,1125;;;2;3814953532757,16;RUB;999999,999999
18.08.2011;9780,55;10180,63;10180,63;9623,7;17934581904,7367;;;2;3846153368714,34;RUB;999999,999999
17.08.2011;10180,63;10011,77;10229,38;9889,5;14610523046,5345;;;2;4003484984750,08;RUB;999999,999999
16.08.2011;10011,77;10172,94;10181,73;9841,8;17223360142,166;;;2;3937079151344,74;RUB;999999,999999
15.08.2011;10172,94;9928,28;10186,53;9888,93;16182121605,77;;;2;4000460577114,74;RUB;999999,999999
12.08.2011;9928,28;9687,1;10044,2;9567,81;9658894496,835;;;2;3904247991950,19;RUB;999999,999999
11.08.2011;9687,1;9663,33;9970,28;9138,21;14243805490,8152;;;2;3809405675194,38;RUB;999999,999999
10.08.2011;9663,33;10130,37;10330,61;9590,77;22098271595,9032;;;2;3800057730922,16;RUB;999999,999999
09.08.2011;10130,37;10178,27;10219,84;9507,48;15004372612,8953;;;2;3983719890028,05;RUB;999999,999999
08.08.2011;10178,27;10748,65;10817,77;10122,98;20488532517,2138;;;2;4002555243886,27;RUB;999999,999999
05.08.2011;10748,65;10979,57;11008,96;10535,89;25173006397,2448;;;2;4226854930503,42;RUB;999999,999999
04.08.2011;10979,57;11198,22;11301,17;10960,76;20399797455,284;;;2;4317664856228,84;RUB;999999,999999
03.08.2011;11198,22;11573,01;11573,01;11162,46;15430349612,2795;;;2;4403647863416,75;RUB;999999,999999
02.08.2011;11573,01;11666,33;11676,15;11512,33;12809184373,9559;;;2;4551031066550,99;RUB;999999,999999
01.08.2011;11666,33;11544,06;11772,18;11544,06;8423440049,8002;;;2;4587729563800,74;RUB;999999,999999
29.07.2011;11544,06;11640,95;11670,14;11436,21;10727990557,3471;;;2;4539644692971,03;RUB;999999,999999
28.07.2011;11640,95;11544,98;11651,67;11503,48;15394248635,2411;;;2;4577748330251,81;RUB;999999,999999
27.07.2011;11544,98;11650,13;11703,37;11541,38;9957395185,7881;;;2;4540006492990,37;RUB;999999,999999
26.07.2011;11650,13;11670,56;11736,13;11600,99;10659370401,563;;;2;4581358103655,92;RUB;999999,999999
25.07.2011;11670,56;11681,5;11691,26;11522,28;11472077716,1646;;;2;4589393566597,12;RUB;999999,999999
22.07.2011;11681,5;11693,85;11748,88;11645,3;15043560995,0671;;;2;4593695587307,79;RUB;999999,999999
21.07.2011;11693,85;11525,86;11693,85;11396,12;15906174131,7166;;;2;4598548904809,87;RUB;999999,999999
20.07.2011;11525,86;11514,69;11623,92;11499,6;9805488799,2177;;;2;4532489548073,05;RUB;999999,999999
19.07.2011;11514,69;11412,82;11533,24;11368,35;20995922819,3137;;;2;4528096423518,58;RUB;999999,999999
18.07.2011;11412,82;11636,17;11662,82;11406,6;16074676509,0376;;;2;4488038416089,75;RUB;999999,999999
15.07.2011;11636,17;11587,15;11659,69;11497,61;11819382164,2986;;;2;4575867828839,25;RUB;999999,999999
14.07.2011;11587,15;11622,61;11668,72;11509,96;16037930459,7748;;;2;4556592082603,18;RUB;999999,999999
13.07.2011;11622,61;11543,94;11626,04;11457,86;11938628796,2869;;;2;4570537115522,29;RUB;999999,999999
12.07.2011;11543,94;11517,01;11547,77;11396,59;18341930550,655;;;2;4539598967639,84;RUB;999999,999999
11.07.2011;11517,01;11677,21;11693,94;11507,91;12073361181,1077;;;2;4529008314770,78;RUB;999999,999999
08.07.2011;11677,21;11791,45;11856,31;11631,77;16146873043,2628;;;2;4592008254790,9;RUB;999999,999999
07.07.2011;11791,45;11560,2;11819,11;11558,9;15324914182,654;;;2;4636932250979,99;RUB;999999,999999
06.07.2011;11560,2;11600,35;11644,56;11515,12;13382290188,1087;;;2;4545994495271,07;RUB;999999,999999
05.07.2011;11600,35;11573,61;11665,58;11520,79;13860321024,3507;;;2;4561780700614,12;RUB;999999,999999
04.07.2011;11573,61;11544,74;11595,71;11518,37;12400516552,1286;;;2;4551265029891,21;RUB;999999,999999
01.07.2011;11544,74;11361,49;11562,5;11308,08;15838490338,5197;;;2;4539914845543,19;RUB;999999,999999
30.06.2011;11361,49;11323,9;11391,07;11287,37;11396876684,2616;;;2;4501265878210,02;RUB;999999,999999
29.06.2011;11323,9;11247,07;11369,62;11238,13;10791750193,8924;;;2;4486375366327,33;RUB;999999,999999
28.06.2011;11247,07;11069,85;11247,28;11053,83;14979777322,4687;;;2;4455934782941,32;RUB;999999,999999
27.06.2011;11069,85;11109,7;11122,64;10992,88;13722342965,2131;;;2;4385721936081,72;RUB;999999,999999
